# DCA Tracker Template

## INVESTMENT OVERVIEW
Total Amount Invested,=SUM(D:D)
Total Fees Paid,=SUM(G:G)
Total Net Cost,=B3+B4
Current Portfolio Value,=SUM(J:J)
Total Profit/Loss,=B6-B5
Overall P/L %,=(B7/B5)*100
Last Updated,=TODAY()

## DCA Summary
Date,Exchange,Currency Pair,Amount Invested (₪),Crypto Purchased,Price per Unit (₪),Fees (₪),Net Cost (₪),Current Price (₪),Current Value (₪),Profit/Loss (₪),P/L %
2024-12-31,Bit2C,BTC/ILS,1000,0.01,=D2/E2,50,=D2+G2,100000,=E2*I2,=J2-H2,=(K2/H2)*100

## Portfolio Overview
Cryptocurrency,Total Amount Held,Avg Purchase Price,Total Invested (₪),Total Fees (₪),Current Price (₪),Current Value (₪),Profit/Loss (₪),P/L %,Portfolio Weight %

## Monthly Summary
Month/Year,Total Invested (₪),Total Fees (₪),Total Crypto Purchased,Avg Price Paid,Number of Transactions,Net Cost (₪),Current Value (₪),P/L (₪)
